ticker,as_of,archetype,float_label,under20_label,conf_label,cik,float_det,os,os_src,g_exo,strat,det_conf,cls,relerr,os_relerr,gate_match,confident
LIVE,2025-05-08,US-single-class,1.49,True,high,1045742,0.134,3.077,xbrl,1.643,1.3,1col-noderiv?,ok,0.9101,0.4407,True,True
DGICB,2025-06-20,multi-class,0.94,True,high,800457,36.779,50.0,regex,0.002,13.219,1col-noderiv?,ok,38.1266,0.7168,False,False
JFB,2025-08-04,multi-class,1.64,True,high,2024306,-5.975,5.25,xbrl,4.365,6.86,multiclass,ok,4.6433,1.4505,True,False
KIDZ,2025-05-02,multi-class,16.2,True,low,2022308,,,,,,,parse-fail,,,,
FLNC,2025-05-08,multi-class,63.36,False,high,1868941,1198.811,1200.0,regex,1.189,0.0,1col-noderiv?,ok,17.9206,0.9462,True,False
SST,2025-06-16,multi-class,2.47,True,med,1805833,58.323,91.456,xbrl,6.12,27.013,nogroup,ok,22.6124,0.6107,False,False
DOMO,2025-08-26,multi-class,34.08,False,high,1505952,30.844,36.971,regex,6.128,0.0,multiclass,ok,0.095,0.0875,True,False
TDUP,2025-05-06,multi-class,91.44,False,high,1484778,16.036,21.895,regex,5.859,0.0,multiclass+scaled,ok,0.8246,3.4439,False,False
YOSH,2025-07-25,multi-class,1.03,True,med,1898604,11.208,11.94,xbrl,0.732,0.0,multiclass,ok,9.8816,0.8524,True,False
YOSH,2025-07-23,multi-class,1.03,True,med,1898604,11.208,11.94,xbrl,0.732,0.0,multiclass,ok,9.8816,0.8524,True,False
ZONE,2025-08-25,multi-class,8.83,True,med,1956741,7.338,11.176,xbrl,3.838,0.0,nogroup,ok,0.169,0.1335,True,False
