ticker,float_M,os_M
YHC,20.67,21.37
YHGJ,0.84,2.61
YI,3.56,8.79
YIBO,23.97,59.23
YJ,1.06,4.93
YMAB,33.31,45.44
YMAT,10.9,19
YMT,1.21667,8.53933
YOOV,55.583,226.985
YOUL,69.3,81.02
YQ,7.5,10.84
YRD,15.63,87.34
YSG,23.39,93.85
YSXT,13.42,27.44
YTEN,0.53,0.66
YTRA,29.46,63.93
YUMAQ,,
YVR,3.559,3.96
YXT,16.48,59.49
YYAI,0.941,1.0525
YYGH,5.71,6.36
ZAGG,,
ZAPP,6.56,7.87
ZBAO,11.29,34.06
ZBIO,31.97,63.13
ZCAR,6.93,7.15
ZCMD,79.6,80.31
ZDAI,4.46438,8.04
ZDGE,10.3,13.04
ZENA,77.34,93.71
ZENV,11.51,52.26
ZEO,29.48,58.02
ZEPP,4.44,14.68
ZEUS,9.67,11.2
ZEV,4.6,6.59
ZFOX,110.6,124.84
ZH,44.64,88.15
ZIVO,2.27,3.89
ZJK,13.43,63.82
ZJYL,1.891,7.83
ZKIN,17.27,57.31
ZNB,2.1,2.1
ZNTL,68.3,71.19
ZOM,962.75,980
ZONE,215.28,221.94
ZOOZ,7.84,8.1
ZPTA,178.33,187.33
ZSAN,4.82,
ZSPC,4.03,4.8
ZSQR,9.43,51.43
ZSTK,1.24,25.73
ZTEK,105.54,125.37
ZTG,3.46,11.58
ZUMZ,13.32,17.28
ZURA,84.82,95
ZVIA,30.37,76.98
ZVO,32.72,34.22
ZVRA,58.7,59.12
ZVSA,8.09,8.1
ZY,65.43,104.1
ZYBT,4.43,47.39
ZYME,72.89,73.02
ZYNE,53.34,53.94
ZYXI,15.56,30.39
