ticker,float_M,os_M
CLSK,246.94,256.61
CLVR,1.64,1.75
CLVS,141.94,145
CLW,15.74,16.13
CLWT,3.12,7.45
CLYM,31.21,79.77
CMAX,2.9,3.81
CMBM,13.57,29.03
CMCL,14.97,19.3
CMCM,9.88,31.04
CMCT,2.64,2.64
CMLS,16.57,17.67
CMMB,6.52,7.19
CMND,1.219,1.219
CMPI,21.04,22.04
CMPS,127.39,134.95
CMPX,143.11,180.09
CMRA,17.62,30.74
CMRX,83.11,93.8
CMT,8.09,8.9
CMTL,24.62,29.73
CNCE,44.11,47.94
CNCK,12.18,135.17
CNET,2.97,3.67
CNEY,7.57,8.2
CNF,6.58,17.8
CNNB,2.45,2.89
CNSP,10.6,10.6
CNTA,144.81,154.73
CNTB,19.76,62.96
CNTG,11.76,29
CNTM,5.41,5.63
CNTN,205.45,206.7
CNTX,90.84,91.88
CNTY,25.64,28.17
CNVS,17.93,21.29
CNVY,15.46,73.22
CO,42.02,121.55
COCH,92.54,103.93
COCP,10.38,13.79
CODA,5.12,11.28
CODX,5.19,5.25
COE,4.17,7.71
COGT,179.11,179.16
COHN,1.84,2.48
COMS,2.44,2.7
CONN,17.64,24.89
COOK,1.7,2.78
COOT,6.09,46.7
CORR,15.76,15.82
CORV,,
CORZ,310.41,317.89
COSM,53.51,59.96
COYA,21.32,23.46
CPAA,,
CPAH,,
CPHC,3.44,5.15
CPHI,27.85,40.52
CPIX,8.79,14.98
CPOP,82.15,82.73
CPS,17.17,17.76
CPSH,17.4,19.21
CPSS,9.45,21.76
CPTN,2.78,16.05
CRBP,18.44,18.53
CRBU,90.22,99.18
CRD.A,14.63,48.74
CRDF,64.61,68.37
CRDL,77.69,111.68
CRE,1.1,2.01
CREG,26.22444,27.40444
CREV,1.67,1.89
CREX,6.83,10.57
CRGE,179.45,215.04
CRGO,18.94,51.53
CRGX,48.22,48.36
CRIS,39.97,39.98
CRKN,1.74,1.74
CRMD,77.69,78.45
CRML,64.2,146.89
CRMT,7.39,8.3
CRNC,37.75,45.19
CRNT,75.51,90.71
CRT,6,6
CRTD,116.8,117.52
CRVO,4.89,9.26
CRVS,76.23,84.09
CRWS,9.77,10.7
CRXT,51.72,52.02
CSAI,24.41,24.99
CSBR,8.69,13.89
CSCI,3.18,3.18
CSHR,74.26,131.78
CSPI,8.45,10.07
CSS,,
CSSE,21.99,32.46
CSTE,13.61,34.58
CSV,14.64,15.87
CTEK,12.48,13.26
CTEV,7.23,17.05
CTG,14.46,16.09
CTGO,30.3,32.1
CTHR,3.55,4.47
CTIC,115.24,131.88
CTK,6.3,
CTLP,68.53,73.73
CTM,63.38,94.7
CTMX,217.58,218.88
CTNM,35.21,37.39
CTNT,2.78,2.96
CTO,32.71,33.78
CTOR,49.51,116.28
CTRM,9.65,9.66
CTRN,4.7,8.34
CTSO,53.8,62.79
CTT,46.02,49.28
CTV,119.58,150.92
CTW,3,63
CTXR,26.48,27.45
CUE,6.9,7.17
CUEN,9.71,9.71
CULP,11.73,12.66
CUO,,
CUPR,0.92125,2.68125
CURI,39.5,59.29
CURO,16.51,41.3
CURR,44.53,112.28
CURX,9.15,28.36
CUTR,19.86,20.19
CV,31.25,49.96
CVEO,5.89,10.94
CVGI,33.89,36.26
CVKD,2.63,3.08
CVLG,14.72,25.17
CVM,14.38,14.46
CVNA,129.53,219.37
CVR,0.88,0.97
CVRX,23.76,26.54
CVU,11.98,13.21
CVV,6.67,6.94
CWBC,22.89,27.11
CWBR,2.83,2.91
CWCO,15.13,16
CWD,8.23,8.84
CXAI,94.53,109.08784
CXDC,15.55,70.55
CXDO,17.38,32.42
CYAB,10.87,13.81
CYAD,13.74,22.59
CYAN,5.01,7.39
CYBE,6.96,7.42
CYCN,3.74,4.33
CYCU,8.18,8.59
CYD,11.81,37.52
CYN,16.9,16.9
CYPH,34.6,137.29
CYRN,6.32,8
CYT,27.56,36
CYTH,21.32,32.74
CYTO,8.77,8.79
CYXT,49.61,180.32
CZOO,2.53,4.89
CZWI,8.74,9.64
DAC,8.45,18.26
DAIC,0.6592,1.2104
DAIO,8.32,9.39
DAKT,41.31,48.3
DALN,4.69,5.35
DAO,14.04,120.44
DARE,13.32,14.98
DAVE,10.09,13.56
DAWN,98.77,103.3
DBD,22.17,34.63
DBGI,22.99,22.99
DBI,27.02,50.71
DBTX,15.8,25.13
DBVT,55.68,59.21
DC,113.89,133.93
DCFC,0.55,0.78
DCGO,87.67,98.78
DCOY,0.5,0.53
DCTH,31.1,34.52
DCX,0.91,24.58
DDC,24.11,34.35
DDD,157.81344,163.34344
DDI,6.32,49.55
DDL,107.85,219.14
DEFT,366.44,388
DERM,16.92,27.53
DETX,5.66,5.68
DEVS,17.93,19.58003
DFDV,24.37,30.12
DFLI,12.5,12.82
DFNS,57.54,60.27
DFSC,1.99,1.99
DFTX,107.39,109.07
DGNX,15.48,29.07
DGXX,83.11,90.42
DHAI,1.32,2.09
DHX,37.44,44.97
DIBS,16.23,35.33
DIT,0.25,0.98
DJCO,0.95,1.38
DJT,163.15,280
DKI,0.53875,2.07777
DLA,6.28,7.05
DLHC,11.75,14.49
DLNG,11.7,36.38
DLPN,12.74,13.02
DLTH,26.36,38.13
DLXY,4.71,16.35
DM,22.2,33.34
DMAC,37.98,53.88
DMK,10.09,10.1
DMN,20.01,21.05
DMRA,61.11,61.55
DMS,2.76,6.33
DMTK,34.35,34.96
DNA,51.14,65.32
DNMR,2.72,3.02
DNTH,52.95,54.67
DOGZ,5.37,14.51
DOMA,6.7,14.19
DOMH,17.88,22.61
DOMO,34.73,41.88
DOUG,81.25,90.91
DOYU,12.67,30.18
DPRO,35.98,36.03
DPSI,5.88,7.68
DRCT,0.69,0.74
DRIO,7.26,7.31
DRMA,3.91,4.02
DRRX,28.83,31.05
DRTS,72.04,90.18
DRTT,193.68,193.68
DRUG,7.06,9.73
DS,85.28,92.39
DSGN,39.05,62.46
DSKE,46.92,47.2
DSP,17.01,65.53
DSS,4.02,10.04
DSWL,4.59,15.94
DSX,115.47,124
DSY,4.58,4.75
DTCK,10.86,27.37
DTCX,35.73,41.79
DTEA,13.63,26.56
DTI,14.18,35.19
DTIL,25.18,25.8
DTSS,6.57,10.45
DTST,1.38,2.17
DUKR,3.41,3.41
DUO,5.58,38.55
DUOT,25.26,29.32
DVD,16.17,36.39
DVLT,627.08,855.56
DWSN,6.32,31.05
DWTX,8.96,33.63
DXF,1.88,5.24
DXLG,50.29,55.27
DXPE,12.55,15.51
DXR,2.98,5.84
DXST,1.218,2.22
DXYN,15.38,15.38
DXYZ,13.72,14.43
DYAI,31.14,36.44
DYN,149.64,165.31
DYNT,7.48,16.05
DZSI,28.44,38.79
EAF,21.38,26.05
EAR,4.7,20.76
EARN,37.07,37.56
EB,78.48,100.72
EBET,14.96,14.98
EBF,24.48,25.29
EBON,4.99,6.54
EBS,50.25,51.6
ECDA,1.27,1.39
ECOM,26.45,28.92
ECOR,6.78,8.3
ECX,86.55,377.09
EDBL,8.6,8.77
EDHL,0.54,1.67
EDIT,152.69556,153.46556
EDRY,1.41,2.89
EDSA,7.6,8.89
EDTK,15.45,15.93
EDUC,6.12,8.51
EEIQ,0.62375,1.61
EEX,149.91,197.91
EFOI,4.18,6.36579
EFSH,22.98,65.29
EFTR,4.66,4.7
EFTY,4.82,20.11
EGAN,17.73,27.45
EGG,9,28.75
EGHT,135.39,139.32
EGIO,3.49,5.64
EGLX,151.52,152.17
EGOX,51.45,94.39
EGRX,11.42,12.99
EGY,105.37,107.01
EHGO,1.255,2.0225
EHLD,1.13,2.82
EHTH,29.07,31.74
EIGR,0.97,1.48
EJH,1.99,3.2
ELA,6.53,25.96
ELAB,5.63,5.63
ELBM,74.5,104
ELDN,92.33,92.36
ELEV,55.53,59.22
ELIQ,17.39,38.02
ELLO,7.57,13.78
ELMD,5.44,8.28
ELOG,3.7,12.83
ELOX,0.68818,0.68818
ELPW,5.9955,6.0355
ELSE,1.74,3.53
ELTK,3.19,6.72
ELTX,16.67,19.09
ELUT,30.14,44.21
ELVA,37.23,49.51
ELVN,45.35,60.9
ELVT,21.66,31.25
ELWT,2.39,6.62
ELYS,31.91,37.44
EM,61.16,253.54
EMAN,63.4,83.19
EMAT,0.87,593.35
EMCF,2.32,2.74
EMKR,7.74,9.08
EML,3.8,6.03
EMPD,36.76,36.76
EMPG,1.58,8.33
EMX,90.67,108.96
ENDP,232.46,235.22
ENFY,11.1,15.77
ENG,3.83,5.16
ENGN,52.1,66.99
ENGS,5.95,32.53
ENHA,20.2,395.07
ENLV,240.15,241.05
ENSC,14.69,14.69
ENSV,46.98,58.18
ENTA,27.62,29.08
ENTX,53.43,54.45
ENVB,3.64,3.68
ENZ,40.19,52.4
EONR,43.51,49.97
EOSE,332.39,339.51
EP,20.31,39.79
EPIX,37.57,47.31
EPM,32.33,35.87
EPOW,21.07,42.33
EPRX,58.78,61.81
EPSM,3.8,13.44
EPSN,18.25,30.25
EPWK,3.39,13.7
EPZM,155.34,168.36
EQ,45.07,110.61
EQOS,43.66,46.44
EQS,5.94,13.97
ERAS,252.09,310.98
ERNA,1.12,1.17
ESCA,10.92,13.81
ESEA,3.39,7.06
ESLA,16.3,43.03
ESOA,13.58,18.66
ESP,2.35,3
ESPR,255.67,257.43
ESQ,7.34,8.64
ETAO,2.64,5.12
ETNB,147.64,148.49
ETON,26.02,27.39
ETS,4.9,48.72
ETTX,19.18,47.85
EUDA,2.12,2.99
EVA,37.85,74.5
EVAX,8.02,8.34
EVC,52.25,92.04
EVER,26.26,35.37
EVEX,96.46,348.3
EVFM,132.53,132.53
EVGN,12.02,12.1
EVI,5.21,12.87
EVK,4,14.82
EVLO,10.93,18.93
